devel01_1,10,,
devel01_2,7,,
devel01_3,4,,
devel01_4,2,,
devel01_5,8,,
devel01_6,1,,
devel01_7,6,,
devel01_8,9,,
devel01_9,3,,
devel01_10,5,,
devel01_11, 9 4 4 9,,
devel01_12, 6 9 6,,
devel01_13, 4 8,,
devel01_14, 10 2 8,,
devel01_15, 2 3 5 10,,
devel01_16, 7 1 9 6 1,,
devel01_17, 5 4 2,,
devel01_18, 6 9,,
devel01_19, 10 2 3 3,,
devel01_20, 5 1,,
devel01_21, 1 10 7 5 9,,
devel01_22, 1 6,,
devel01_23, 9 4,,
devel01_24, 10 3,,
devel01_25, 8 1 5,,
devel01_26,5,,
devel01_27,2,,
devel01_28,10,,
devel01_29, 8 7 6 1 7,,
devel01_30, 3 7,,
devel01_31, 5 7 6 6,,
devel01_32,7,,
devel01_33, 8 2,,
devel01_34, 2 10,,
devel01_35, 2 2 8 7 5,,
devel01_36,7,,
devel01_37,4,,
devel01_38,1,,
devel01_39,3,,
devel01_40,3,,
devel01_41,8,,
devel01_42,6,,
devel01_43,9,,
devel01_44, 7 5,,
devel01_45, 4 7 9,,
devel01_46, 7 6 8 1,,
devel01_47, 1 10 1,,
devel02_1,7,,
devel02_2,9,,
devel02_3,10,,
devel02_4,3,,
devel02_5,5,,
devel02_6,8,,
devel02_7,6,,
devel02_8,4,,
devel02_9,1,,
devel02_10,2,,
devel02_11, 8 7 1 2,,
devel02_12, 1 3 7 8 10,,
devel02_13, 8 8 4,,
devel02_14, 8 5,,
devel02_15,9,,
devel02_16, 2 10 9,,
devel02_17, 6 1,,
devel02_18, 2 6 4 5,,
devel02_19,10,,
devel02_20, 3 2 4 6 2,,
devel02_21,4,,
devel02_22,7,,
devel02_23,1,,
devel02_24, 1 3 2,,
devel02_25, 2 2,,
devel02_26, 9 8 10 1 5,,
devel02_27, 3 10 5 9,,
devel02_28, 1 3,,
devel02_29,5,,
devel02_30, 4 7,,
devel02_31, 4 2 7 1,,
devel02_32, 7 8,,
devel02_33, 5 9,,
devel02_34, 4 5 5,,
devel02_35, 10 4 8 7,,
devel02_36,2,,
devel02_37,6,,
devel02_38,3,,
devel02_39, 10 6,,
devel02_40,9,,
devel02_41, 6 2 3,,
devel02_42,5,,
devel02_43, 5 9 6,,
devel02_44, 8 1 3 10 9,,
devel02_45, 3 10,,
devel02_46,8,,
devel02_47, 9 4,,
devel03_1,5,,
devel03_2,1,,
devel03_3,4,,
devel03_4,6,,
devel03_5,8,,
devel03_6,7,,
devel03_7,2,,
devel03_8,3,,
devel03_9, 5 6,,
devel03_10,6,,
devel03_11,5,,
devel03_12,4,,
devel03_13, 1 7 8,,
devel03_14,1,,
devel03_15,3,,
devel03_16, 6 2 1 3,,
devel03_17, 2 3,,
devel03_18, 6 1,,
devel03_19, 8 2 2,,
devel03_20,4,,
devel03_21,6,,
devel03_22,3,,
devel03_23, 4 8 1 1 2,,
devel03_24, 5 4,,
devel03_25, 7 2,,
devel03_26, 4 6,,
devel03_27,8,,
devel03_28, 8 3 5 3 7,,
devel03_29, 6 8,,
devel03_30, 2 1 5,,
devel03_31, 8 4 7 6,,
devel03_32, 4 6 4,,
devel03_33,7,,
devel03_34, 3 4 1,,
devel03_35, 5 5 8 7,,
devel03_36, 8 1,,
devel03_37, 3 7,,
devel03_38,5,,
devel03_39, 3 1 3 8 1,,
devel03_40, 7 7 8 4 4,,
devel03_41, 4 7 3 1,,
devel03_42, 1 5,,
devel03_43, 1 1 5 2,,
devel03_44,8,,
devel03_45,2,,
devel03_46, 5 8 3,,
devel03_47,2,,
devel04_1,9,,
devel04_2,6,,
devel04_3,1,,
devel04_4,7,,
devel04_5,5,,
devel04_6,2,,
devel04_7,3,,
devel04_8,10,,
devel04_9,4,,
devel04_10,8,,
devel04_11,3,,
devel04_12,1,,
devel04_13, 2 7,,
devel04_14,2,,
devel04_15, 9 5 4,,
devel04_16,7,,
devel04_17, 4 7 4 3,,
devel04_18,5,,
devel04_19, 9 2,,
devel04_20, 9 10 8 4,,
devel04_21, 3 4 1,,
devel04_22, 3 8,,
devel04_23,3,,
devel04_24, 7 10,,
devel04_25, 5 1 4 9 8,,
devel04_26, 10 3,,
devel04_27, 7 2 2 5,,
devel04_28,10,,
devel04_29, 5 6,,
devel04_30, 1 9 3 1 10,,
devel04_31,6,,
devel04_32, 8 7 9,,
devel04_33, 4 9,,
devel04_34, 5 10 7,,
devel04_35, 2 6 10,,
devel04_36,9,,
devel04_37, 8 5 5 2,,
devel04_38, 2 4 1 8 5,,
devel04_39,1,,
devel04_40, 8 1,,
devel04_41, 1 5,,
devel04_42, 6 4,,
devel04_43, 1 1 6,,
devel04_44, 9 8 10 10 6,,
devel04_45,8,,
devel04_46, 10 8 10 8,,
devel04_47,4,,
devel05_1,2,,
devel05_2,8,,
devel05_3,4,,
devel05_4,5,,
devel05_5,3,,
devel05_6,1,,
devel05_7,7,,
devel05_8,6,,
devel05_9, 5 7,,
devel05_10,4,,
devel05_11, 3 2,,
devel05_12,4,,
devel05_13, 8 2,,
devel05_14, 4 1,,
devel05_15,7,,
devel05_16, 3 4 8,,
devel05_17, 7 4 1 3 7,,
devel05_18, 8 2 3 8 5,,
devel05_19, 2 7 5 4 4,,
devel05_20,6,,
devel05_21, 5 8 7 4,,
devel05_22, 5 7 4,,
devel05_23, 1 6,,
devel05_24, 2 5 4 2,,
devel05_25, 8 6 2,,
devel05_26,5,,
devel05_27, 1 8 6,,
devel05_28,6,,
devel05_29, 3 6 2 6,,
devel05_30, 4 1 3,,
devel05_31, 5 8 4 2 2,,
devel05_32, 6 2 7,,
devel05_33,3,,
devel05_34,1,,
devel05_35, 2 5,,
devel05_36, 1 2 1 7,,
devel05_37,2,,
devel05_38,2,,
devel05_39,5,,
devel05_40, 3 8,,
devel05_41, 7 3 6 8,,
devel05_42,7,,
devel05_43, 1 3,,
devel05_44,1,,
devel05_45, 7 6,,
devel05_46,8,,
devel05_47, 6 4,,
devel06_1,5,,
devel06_2,9,,
devel06_3,6,,
devel06_4,1,,
devel06_5,2,,
devel06_6,7,,
devel06_7,8,,
devel06_8,3,,
devel06_9,10,,
devel06_10,4,,
devel06_11,5,,
devel06_12, 9 2 4 7,,
devel06_13, 3 1 9 10,,
devel06_14,6,,
devel06_15, 1 3 7,,
devel06_16,10,,
devel06_17, 7 8 6 8,,
devel06_18, 1 7 2 2 6,,
devel06_19,3,,
devel06_20, 10 1,,
devel06_21, 8 6,,
devel06_22, 7 7,,
devel06_23, 1 2,,
devel06_24, 9 2 2,,
devel06_25,4,,
devel06_26, 9 6 7 4 7,,
devel06_27, 4 9,,
devel06_28, 9 8,,
devel06_29, 6 7 5,,
devel06_30,7,,
devel06_31,2,,
devel06_32, 5 5,,
devel06_33, 3 3,,
devel06_34,9,,
devel06_35,5,,
devel06_36, 6 10,,
devel06_37, 3 9 10,,
devel06_38, 4 3 8 2,,
devel06_39, 10 6 7 1,,
devel06_40, 2 4,,
devel06_41,1,,
devel06_42,4,,
devel06_43, 10 6 8,,
devel06_44,8,,
devel06_45, 7 3 9 7 2,,
devel06_46, 8 8 8 6 5,,
devel06_47, 2 8 4,,
devel07_1,5,,
devel07_2,8,,
devel07_3,2,,
devel07_4,4,,
devel07_5,9,,
devel07_6,3,,
devel07_7,6,,
devel07_8,7,,
devel07_9,1,,
devel07_10, 2 8,,
devel07_11,4,,
devel07_12, 3 7,,
devel07_13,2,,
devel07_14, 7 9 9,,
devel07_15, 6 3,,
devel07_16, 6 5 6 9 1,,
devel07_17,9,,
devel07_18, 1 3 2 1,,
devel07_19,9,,
devel07_20, 7 6 4 6,,
devel07_21, 7 1,,
devel07_22, 3 5 5,,
devel07_23, 9 5,,
devel07_24, 9 5 8 8,,
devel07_25,4,,
devel07_26, 7 2 3 4 7,,
devel07_27,7,,
devel07_28,2,,
devel07_29,1,,
devel07_30,3,,
devel07_31,6,,
devel07_32, 8 8 3 3,,
devel07_33, 8 9 4 2 6,,
devel07_34, 5 9,,
devel07_35,5,,
devel07_36, 8 8 7,,
devel07_37, 4 2 4,,
devel07_38, 8 4,,
devel07_39, 2 3 6,,
devel07_40,7,,
devel07_41, 2 6 9 3 9,,
devel07_42, 5 1 2,,
devel07_43, 9 6,,
devel07_44, 3 9 7 7,,
devel07_45,8,,
devel07_46, 1 2,,
devel07_47, 4 6,,
devel08_1,8,,11
devel08_2,7,,
devel08_3,11,,
devel08_4,10,,
devel08_5,3,,
devel08_6,1,,
devel08_7,5,,
devel08_8,6,,
devel08_9,2,,
devel08_10,4,,
devel08_11,9,,
devel08_12, 5 5 6 5,,
devel08_13, 2 6 6,,
devel08_14, 8 9,,
devel08_15, 4 9 7 3,,
